None,mean_mz,mean_RT,mean_mz_round,profile_number_peaks,mean_above_blind_intens,target_matches,Ufid_1,Ufid_2,ISTD_matches,2021-11-29,2021-12-14,2022-01-05,2022-01-20,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-02-04,2022-02-19,2022-03-06,2022-03-21,2022-04-05,2022-04-20,2022-05-05,2022-05-20,2022-06-04,2022-06-19,2022-07-04,2022-07-19,2022-08-03,2022-08-18,2022-09-02
244,105.492005643031,360.0,105.49,4,inf,,105.49_360.0,105_360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.7389925393957,0.0,3203.2146151832953,0.0,0.0
246,105.492053080879,308.0,105.49,12,inf,,105.49_308.0,105_308.0,,0.0,0.0,0.0,0.0,0.0,7859.008016233366,0.0,1479.9874652118042,0.0,0.0,0.0,0.0,0.0,0.0,3871.6295813221245,0.0,0.0,0.0,0.0,0.0,0.0,1632.6409105398334,0.0,2804.073684739646,0.0,0.0
248,105.492019342214,270.0,105.49,5,inf,,105.49_270.0,105_270.0,,0.0,0.0,0.0,0.0,0.0,932.2112463305001,0.0,536.7921303067084,0.0,0.0,0.0,0.0,0.0,0.0,1060.8100680989335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.556128394483,0.0,0.0
261,106.991950459828,251.0,106.99,15,inf,,106.99_251.0,106_251.0,,0.0,175426.27180859746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,107.049102487121,309.0,107.05,21,inf,,107.05_309.0,107_309.0,,0.0,506.3528746669833,519.9470146828374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.7807368378334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.7834289844168,1068.2986131806833,3586.463087732063,2091.6453198387794,2058.026237692896,1287.6693798429208
268,107.049114903688,292.0,107.05,14,inf,,107.05_292.0,107_292.0,,0.0,1647.810102889096,1083.609995237971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2674.2994184730746,0.0,0.0,0.0,2238.9508841845545,0.0,0.0,1229.82932987555,0.0,540.1624423261917,0.0,0.0,0.0
275,107.085493240581,650.0,107.09,6,inf,,107.09_650.0,107_650.0,,0.0,0.0,0.0,0.0,9840.74518181697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,107.541131418939,274.0,107.54,22,inf,,107.54_274.0,107_274.0,,0.0,0.0,0.0,0.0,0.0,767.3738828313208,1529.9874420110748,1235.2522680916209,2468.7063840576375,711.7110757355125,0.0,0.0,0.0,2340.3099113805292,9433.274591620042,0.0,0.0,1382.0434009734793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,107.541142982609,281.0,107.54,115,inf,,107.54_281.0,107_281.0,,0.0,0.0,0.0,5827.612307324255,0.0,6836.157428217851,7788.206619330358,2929.338946780454,9096.34037009008,5771.159346965655,0.0,5601.188999478317,3171.278237957233,11605.49640687013,45652.129229212405,0.0,0.0,12202.338979883692,627.8667336571833,1401.4615644934165,0.0,1727.1409827796917,2642.9246064085833,0.0,1972.4459654395876,5498.315882859287
278,107.541127122234,296.0,107.54,61,inf,,107.54_296.0,107_296.0,,0.0,0.0,0.0,1994.3348338220833,0.0,1886.7920055905543,0.0,0.0,3617.6134704253163,911.6647070125078,0.0,714.6341752249374,520.1629677486417,0.0,1581.7040671449124,0.0,0.0,11865.53357354783,2689.361454191771,2543.7130121528126,426.0048509304958,4780.693265167483,6769.891876522112,0.0,872.56751301145,11119.143158019091
